rolling_period,mean_period,rolling_threshold,dilute_to,Total Return [%],Max Drawdown [%],Sharpe Ratio,skip_weeks,use_id_filter,id_percentile,benchmark_exit_multiplier
13,13,-99999,15,640.4875624008696,43.129147517494346,1.3269344130558758,4,True,50.0,0.9
13,13,-99999,15,709.9379919571201,49.28631919944972,1.3630140167798064,4,True,30.0,0.9
13,13,-99999,15,663.9188754720499,41.5328798290676,1.3436178951071194,4,False,,0.9
26,26,-99999,15,960.8545202550999,37.17147517177721,1.5303044227280478,4,True,50.0,0.9
26,26,-99999,15,515.65244343756,39.21993665876792,1.2170995490156407,4,True,30.0,0.9
26,26,-99999,15,931.3882424128501,37.211187101159375,1.4840971077942258,4,False,,0.9
39,39,-99999,15,1000.4333768254902,41.30256002258066,1.590202406982595,4,True,50.0,0.9
39,39,-99999,15,785.8254768973902,41.06411734944998,1.4588312656700058,4,True,30.0,0.9
39,39,-99999,15,885.7754987970196,40.78110305021306,1.4814242869968028,4,False,,0.9
52,52,-99999,15,1313.6958429874699,39.416728273052605,1.7990261952489985,4,True,50.0,0.9
52,52,-99999,15,1121.4288559643,43.50278799444507,1.667452506940447,4,True,30.0,0.9
52,52,-99999,15,924.6848213605202,43.239296862692434,1.5234085448597525,4,False,,0.9
104,104,-99999,15,747.9453975222597,46.29906073831664,1.5558825057336685,4,True,50.0,0.9
104,104,-99999,15,873.4657613906699,46.75271299446538,1.62247805123817,4,True,30.0,0.9
104,104,-99999,15,738.1985812994499,46.5652385826073,1.426853215559001,4,False,,0.9
260,260,-99999,15,52.35294116806,39.55350711340416,0.5112418431718613,4,True,50.0,0.9
260,260,-99999,15,48.80705359735999,39.23986912882424,0.490297307143116,4,True,30.0,0.9
260,260,-99999,15,46.60901670615999,45.14129756664304,0.4263333947123568,4,False,,0.9
