Date,3MINDIA.NS,AARTIIND.NS,ABB.NS,ABBOTINDIA.NS,ABFRL.NS,ABREL.NS,ACC.NS,ACE.NS,ADANIENT.NS,ADANIGREEN.NS,ADANIPORTS.NS,ADANITRANS.NS,ADVENZYMES.NS,AFFLE.NS,AIAENG.NS,AJANTPHARM.NS,AKZOINDIA.NS,ALEMBICLTD.NS,ALKEM.NS,ALLCARGO.NS,AMBUJACEM.NS
2018-01-01,,,,,,,,,,,,,,,,,,,,,
2018-01-08,,,,,,,,,,,,,,,,,,,,,
2018-01-15,,,,,,,,,,,,,,,,,,,,,
2018-01-22,,,,,,,,,,,,,,,,,,,,,
2018-01-29,,,,,,,,,,,,,,,,,,,,,
2018-02-05,,,,,,,,,,,,,,,,,,,,,
2018-02-12,,,,,,,,,,,,,,,,,,,,,
2018-02-19,,,,,,,,,,,,,,,,,,,,,
2018-02-26,,,,,,,,,,,,,,,,,,,,,
2018-03-05,,,,,,,,,,,,,,,,,,,,,
2018-03-12,,,,,,,,,,,,,,,,,,,,,
2018-03-19,,,,,,,,,,,,,,,,,,,,,
2018-03-26,,,,,,,,,,,,,,,,,,,,,
2018-04-02,,,,,,,,,,,,,,,,,,,,,
2018-04-09,,,,,,,,,,,,,,,,,,,,,
2018-04-16,,,,,,,,,,,,,,,,,,,,,
2018-04-23,,,,,,,,,,,,,,,,,,,,,
2018-04-30,,,,,,,,,,,,,,,,,,,,,
2018-05-07,,,,,,,,,,,,,,,,,,,,,
2018-05-14,,,,,,,,,,,,,,,,,,,,,
2018-05-21,,,,,,,,,,,,,,,,,,,,,
2018-05-28,,,,,,,,,,,,,,,,,,,,,
2018-06-04,,,,,,,,,,,,,,,,,,,,,
2018-06-11,,,,,,,,,,,,,,,,,,,,,
2018-06-18,,,,,,,,,,,,,,,,,,,,,
2018-06-25,,,,,,,,,,,,,,,,,,,,,
2018-07-02,,,,,,,,,,,,,,,,,,,,,
2018-07-09,-0.045599789121121836,-0.10559098406730325,0.11240720127150025,0.0004979855297855194,-0.003721491781278928,-0.0881670478152162,-0.013865907492276619,-0.10322282359048347,0.05519695370685122,0.0,0.016233850959404807,0.07509403873698518,-0.005688851218626815,0.0,0.1064521561892002,-0.06764205696711614,-0.06904039346664835,-0.10082456335265412,0.1432558124137347,0.051560644538576325,-0.10142123739941049
2018-07-16,0.06761783927300076,-0.12867724471952077,0.046031235834769,0.008011985683122924,-0.011725804848863779,-0.08829158502981214,-0.045342230217284195,-0.1489006393770736,0.13144448941681244,0.0,0.011978648472507972,0.0517494629093931,-0.04221086128609379,0.0,0.0913122548208305,-0.06059195930387044,-0.11735954485159085,-0.12077191103722058,0.1170461770422316,0.018667185720768944,-0.10364889342418697
2018-07-23,0.07037655469739303,-0.10605409080703496,0.09619979438631096,0.023274710425551775,0.04383587947889857,-0.023638509497019733,0.07170637367053609,-0.1101050629523115,0.1893858802256862,0.0,0.08458694597830314,0.101727011777402,-0.007501282855485617,0.0,0.1219865618952513,-0.011630119500241327,-0.08430174051963456,-0.06251532033828563,0.21696376648093674,0.09922470788036797,0.003879153381944143
2018-07-30,0.07511331235318074,-0.08610400715190701,0.11232784296988466,0.058761240163716456,0.16374146894065328,-0.03451391995513634,0.0649263366733306,-0.05292904063592341,0.18563234007810084,0.0,0.09596568054305117,0.10339674886664914,0.034602407619016416,0.0,0.14986508941179416,0.02298931865321167,-0.08086339881732932,-0.003930788122082608,0.2354418873256446,0.15787899380202092,0.009070199240601916
2018-08-06,0.08319995746174073,-0.022160586013927723,0.11756907609693072,0.036927957848678576,0.18669286282649494,-0.02906106312470249,0.07718539415502206,-0.06820603712319108,0.1792052088915381,0.0,0.040663466340654986,0.09330689141238359,0.04821713302723463,0.0,0.14390663278016155,0.024605703235953263,-0.14576470532283597,0.0051135831360977786,0.18304453593180034,0.12148396854989296,0.017875183278514648
2018-08-13,0.09807109820355818,-0.020612776014308803,0.14063336242232688,0.0008083403100207895,0.21920814615107856,0.0006245286091615042,0.0970851988937879,-0.07344014201010851,0.17811924485142575,0.0,0.0297165794507441,0.10311195031987476,0.015033376578839757,0.0,0.20470061710714108,0.05139046986456641,-0.15047929366383453,0.05010311374405146,0.19319003480084132,0.1457438444528915,0.024054288375306765
2018-08-20,0.09320115754312142,-0.02666551040277835,0.20758528233111642,-0.02625919330693466,0.234720658566893,0.014194408052193384,0.11353601389517891,-0.09234704458215437,0.17683930871298628,0.0,0.04414608015744477,0.10842195812156484,0.014740906577160328,0.0,0.12546447637975638,0.06711593427124062,-0.13898261106473161,0.05421662428612146,0.17507845436228572,0.1471122084857334,0.049226575774296906
2018-08-27,0.09775066128728749,-0.041235236888464276,0.19656471977862913,0.02875229856778524,0.21361132097627694,0.06513927715924023,0.10788224647229991,-0.080239830360722,0.1922216092889842,0.0,0.06960718913417042,0.19770916417539036,0.025783890248238815,0.0,0.13851030413399598,0.08214829446913112,-0.1446249738375084,0.07545964219108121,0.19763384707716472,0.13694542429702136,0.05977450115074039
2018-09-03,0.066607226913574,-0.05713009609356031,0.21848919618857346,0.026559763189622713,0.20092273868941007,0.038654383417482015,0.07220437913383186,-0.06109896520965097,0.1922968702760353,0.0,0.052262294185031664,0.13214677765631916,0.09009372077049452,0.0,0.11146440438926644,0.07316010397215726,-0.12378269939980777,0.11043810102642183,0.2240942839176028,0.13711607934276476,0.009705598142328384
