Ticker,ACMESOLAR.NS,ACMESOLAR.NS,ACMESOLAR.NS,ACMESOLAR.NS,ACMESOLAR.NS,ACMESOLAR.NS,360ONE.NS,360ONE.NS,360ONE.NS,360ONE.NS,360ONE.NS,360ONE.NS,3MINDIA.NS,3MINDIA.NS,3MINDIA.NS,3MINDIA.NS,3MINDIA.NS,3MINDIA.NS,ABB.NS,ABB.NS,ABB.NS,ABB.NS,ABB.NS,ABB.NS,ACC.NS,ACC.NS,ACC.NS,ACC.NS,ACC.NS,ACC.NS
Price,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-01,,,,,,,,,,,,,6444.7998046875,6529.14990234375,6402.89990234375,6504.60009765625,6229.67333984375,170,1162.05908203125,1208.3145751953125,1154.7962646484375,1181.578125,1133.3067626953125,111455,1400.1500244140625,1411.0,1397.949951171875,1403.550048828125,1244.028076171875,101070
2015-01-02,,,,,,,,,,,,,6474.89990234375,6612.0,6451.10009765625,6493.4501953125,6218.994140625,555,1192.6993408203125,1201.0970458984375,1165.6905517578125,1169.322021484375,1121.551513671875,50549,1406.4000244140625,1431.0,1405.550048828125,1425.9000244140625,1263.837646484375,153349
2015-01-05,,,,,,,,,,,,,6451.0,6548.7001953125,6451.0,6484.39990234375,6210.32666015625,201,1178.400634765625,1192.92626953125,1166.598388671875,1169.5943603515625,1121.812744140625,39947,1425.0,1439.75,1423.75,1433.6500244140625,1270.7071533203125,207979
2015-01-06,,,,,,,,,,,,,6500.0498046875,6549.0,6205.0,6333.0,6065.326171875,684,1167.914794921875,1169.276611328125,1136.0035400390625,1158.972412109375,1111.6246337890625,64200,1425.0,1428.949951171875,1370.550048828125,1383.550048828125,1226.30126953125,368755
2015-01-07,,,,,,,,,,,,,6497.0,6649.64990234375,6261.0498046875,6294.89990234375,6028.8359375,231,1169.231201171875,1172.8626708984375,1137.6376953125,1142.267822265625,1095.6024169921875,45574,1382.0,1384.949951171875,1336.199951171875,1367.449951171875,1212.0311279296875,301895
2015-01-08,,,,,,,,,,,,,6497.14990234375,6548.9501953125,6327.10009765625,6494.85009765625,6220.3349609375,947,1147.533447265625,1198.37353515625,1147.533447265625,1169.322021484375,1121.551513671875,76715,1378.0,1396.6500244140625,1373.25,1391.4000244140625,1233.2591552734375,94344
2015-01-09,,,,,,,,,,,,,6596.7998046875,6596.89990234375,6430.0,6438.0498046875,6165.935546875,313,1175.631591796875,1182.84912109375,1140.2705078125,1148.4866943359375,1101.5673828125,137732,1397.800048828125,1410.949951171875,1378.0,1398.5,1239.552001953125,275773
2015-01-12,,,,,,,,,,,,,6494.35009765625,6494.35009765625,6401.0,6409.25,6138.35302734375,232,1155.61328125,1162.0137939453125,1143.3572998046875,1150.2569580078125,1103.265380859375,38742,1400.0,1409.25,1390.0999755859375,1404.5999755859375,1244.95849609375,158639
