Ticker,3MINDIA.NS,3MINDIA.NS,3MINDIA.NS,3MINDIA.NS,3MINDIA.NS,3MINDIA.NS,ACMESOLAR.NS,ACMESOLAR.NS,ACMESOLAR.NS,ACMESOLAR.NS,ACMESOLAR.NS,ACMESOLAR.NS,360ONE.NS,360ONE.NS,360ONE.NS,360ONE.NS,360ONE.NS,360ONE.NS,ABB.NS,ABB.NS,ABB.NS,ABB.NS,ABB.NS,ABB.NS,ACC.NS,ACC.NS,ACC.NS,ACC.NS,ACC.NS,ACC.NS
Price,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-01,6444.7998046875,7157.5498046875,6205.0,6812.7001953125,6524.7509765625,17585,,,,,,,,,,,,,1162.05908203125,1227.4249267578125,1136.0035400390625,1165.5997314453125,1117.9814453125,1678796,1400.1500244140625,1595.0,1336.199951171875,1560.449951171875,1383.09521484375,7786122
2015-02-01,6811.5498046875,8565.0,6500.0,7796.4501953125,7466.92138671875,24460,,,,,,,,,,,,,1162.05908203125,1385.6646728515625,1130.4656982421875,1279.7630615234375,1227.480712890625,2793084,1554.9000244140625,1705.0,1481.449951171875,1673.449951171875,1483.25244140625,10595392
2015-03-01,7889.9501953125,8200.0,7610.2998046875,7935.2998046875,7599.90185546875,31401,,,,,,,,,,,,,1274.6336669921875,1293.6986083984375,1072.816650390625,1143.9927978515625,1097.2569580078125,2099714,1680.0,1774.6500244140625,1538.0,1562.75,1385.1339111328125,7128129
2015-04-01,7905.0,9585.0,7537.4501953125,7958.75,7622.361328125,24284,,,,,,,,,,,,,1149.39453125,1300.507568359375,1149.34912109375,1212.7630615234375,1163.218017578125,1302540,1563.699951171875,1676.8499755859375,1428.0999755859375,1433.699951171875,1285.648681640625,6734126
2015-05-01,7958.75,8500.0,7500.0,7986.0498046875,7648.50732421875,10247,,,,,,,,,,,,,1212.7630615234375,1290.7027587890625,1165.6905517578125,1212.989990234375,1167.0440673828125,1054591,1433.699951171875,1541.8499755859375,1386.550048828125,1512.4000244140625,1356.2215576171875,6153687
2015-06-01,8390.0,9375.0,7810.0,8331.2998046875,7979.16455078125,19465,,,,,,,,,,,,,1225.6092529296875,1251.9371337890625,1125.8355712890625,1202.2772216796875,1156.737548828125,696378,1515.0,1532.0,1366.199951171875,1444.550048828125,1295.37841796875,6194444
2015-07-01,8355.0,8900.0,8005.7001953125,8688.0498046875,8320.8359375,41888,,,,,,,,,,,,,1184.9371337890625,1311.8558349609375,1184.9371337890625,1258.8369140625,1211.1546630859375,1491565,1440.0999755859375,1515.550048828125,1350.0,1387.4000244140625,1244.1300048828125,7174433
2015-08-01,8850.0,12565.0,8797.849609375,10788.9501953125,10332.9384765625,87528,,,,,,,,,,,,,1248.578125,1279.0821533203125,1020.4331665039062,1114.44189453125,1072.22900390625,950710,1384.800048828125,1454.3499755859375,1320.0,1334.8499755859375,1206.2232666015625,6873980
