,rebalancing_date,week_start,week_end
1,2017-01-02,2017-01-02,2017-01-06
2,2017-01-03,2017-01-02,2017-01-06
3,2017-01-04,2017-01-02,2017-01-06
4,2017-01-05,2017-01-02,2017-01-06
5,2017-01-06,2017-01-02,2017-01-06
6,2017-01-09,2017-01-09,2017-01-13
7,2017-01-10,2017-01-09,2017-01-13
8,2017-01-11,2017-01-09,2017-01-13
9,2017-01-12,2017-01-09,2017-01-13
10,2017-01-13,2017-01-09,2017-01-13
11,2017-01-16,2017-01-16,2017-01-20
12,2017-01-17,2017-01-16,2017-01-20
13,2017-01-18,2017-01-16,2017-01-20
14,2017-01-19,2017-01-16,2017-01-20
15,2017-01-20,2017-01-16,2017-01-20
16,2017-01-23,2017-01-23,2017-01-27
17,2017-01-24,2017-01-23,2017-01-27
18,2017-01-25,2017-01-23,2017-01-27
19,2017-01-27,2017-01-23,2017-01-27
20,2017-01-30,2017-01-30,2017-02-03
21,2017-01-31,2017-01-30,2017-02-03
22,2017-02-01,2017-01-30,2017-02-03
23,2017-02-02,2017-01-30,2017-02-03
24,2017-02-03,2017-01-30,2017-02-03
25,2017-02-06,2017-02-06,2017-02-10
26,2017-02-07,2017-02-06,2017-02-10
27,2017-02-08,2017-02-06,2017-02-10
28,2017-02-09,2017-02-06,2017-02-10
29,2017-02-10,2017-02-06,2017-02-10
30,2017-02-13,2017-02-13,2017-02-17
31,2017-02-14,2017-02-13,2017-02-17
32,2017-02-15,2017-02-13,2017-02-17
33,2017-02-16,2017-02-13,2017-02-17
34,2017-02-17,2017-02-13,2017-02-17
35,2017-02-20,2017-02-20,2017-02-23
36,2017-02-21,2017-02-20,2017-02-23
37,2017-02-22,2017-02-20,2017-02-23
38,2017-02-23,2017-02-20,2017-02-23
39,2017-02-27,2017-02-27,2017-03-03
40,2017-02-28,2017-02-27,2017-03-03
41,2017-03-01,2017-02-27,2017-03-03
42,2017-03-02,2017-02-27,2017-03-03
43,2017-03-03,2017-02-27,2017-03-03
44,2017-03-06,2017-03-06,2017-03-10
45,2017-03-07,2017-03-06,2017-03-10
46,2017-03-08,2017-03-06,2017-03-10
47,2017-03-09,2017-03-06,2017-03-10
