Date,ADANIENT.NS,ADANIPORTS.NS,APOLLOHOSP.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJFINANCE.NS,BAJAJFINSV.NS,BEL.NS,BHARTIARTL.NS,CIPLA.NS,COALINDIA.NS,DRREDDY.NS,EICHERMOT.NS,ETERNAL.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS
2018-01-01,92.68264128,399.64999,1202.55,1143.65,565.5,3289.25,172.565,517.18501,60.48327265,475.68659695,611.5,266.64999,480.83,2989.315,,1139.395935,439.350005,463.625
2018-01-02,91.48258946,397.39999,1191.95,1142.75,559.5,3294.75,172.465,510.11001,60.54993592,465.4591733,607.79999,270.04999,481.84,2867.015,,1135.013451,446.399995,468.0875
2018-01-03,98.34797588,407.64999,1176.5,1141.9,560.45001,3241.05,171.53,509.94502,60.3332728,466.94599347,606.79999,271.85001,467.8,2881.435,,1122.712617,448.649995,463.1625
2018-01-04,102.31091929,409.85001,1160.1,1172.05,559.90002,3264.45,175.4,506.25498,60.01660645,471.27122708,616.75,277.79999,482.16,2857.075,,1165.641036,446.54999,464.975
2018-01-05,107.80879998,423.79999,1196.3,1185.25,563.25,3279.8501,181.45,512.72002,60.7666057,486.58979469,615.15002,278.75,494.68,2923.7,,1209.36627,450.024995,465.9
2018-01-08,109.65073701,422.89999,1180.7,1182.0,565.45001,3275.75,183.685,522.125,61.34993845,465.27894585,615.04999,287.45001,495.32,2919.74,,1198.210857,450.25,465.15
2018-01-09,109.34374285,421.10001,1172.35,1193.05,565.29999,3243.5,181.95,515.63999,60.84993895,459.37680087,615.59998,304.04999,491.56,2859.6949,,1232.573512,446.92499,465.925
2018-01-10,110.96241546,423.45001,1172.15,1177.4,562.79999,3207.3999,180.22,519.95498,59.98327315,456.31308735,619.75,308.29999,485.16,2809.75,,1230.581475,457.92499,466.05
2018-01-11,112.58108249,425.5,1172.4,1188.95,558.75,3193.3999,178.035,514.63999,59.6666068,463.83721633,612.34998,308.10001,485.07,2844.4699,,1239.047636,458.45001,468.1375
2018-01-12,111.60430066,423.29999,1163.35,1189.7,555.09998,3175.3501,177.01,505.72998,59.33327381,459.15152782,612.09998,309.0,489.53,2864.975,,1216.786611,462.95001,466.325
2018-01-15,110.62751884,420.60001,1179.45,1204.05,560.54999,3166.0,173.815,501.03501,59.53327694,454.60102115,610.25,305.89999,486.35,2798.15,,1237.902214,454.625,474.4375
2018-01-16,108.61814466,423.54999,1147.2,1188.75,563.20001,3160.05,168.735,495.67998,57.73327541,448.06810261,601.40002,291.60001,493.74,2789.1199,,1224.107351,474.625,475.0375
2018-01-17,114.17184146,433.39999,1125.7,1193.75,585.20001,3194.1499,170.12,496.48999,58.68327446,450.45598797,607.15002,290.95001,498.37,2822.285,,1243.031712,476.42499,472.625
2018-01-18,108.98094376,416.25,1116.45,1188.25,584.79999,3201.2,166.07,492.26001,57.03327945,446.04064514,603.65002,283.04999,492.3,2795.44,,1212.752734,477.125,483.575
2018-01-19,111.4647604,433.45001,1139.4,1189.9,590.25,3210.3999,170.19,497.30498,57.58327556,448.65380354,602.75,284.0,498.07,2800.9449,,1218.679047,479.149995,488.05
