Date,ADANIENT.NS,ADANIPORTS.NS,APOLLOHOSP.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJFINANCE.NS,BAJAJFINSV.NS,BEL.NS,BHARTIARTL.NS,CIPLA.NS,COALINDIA.NS,DRREDDY.NS,EICHERMOT.NS,ETERNAL.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS
2017-01-02,43.89936719,286.04999,1196.5,929.5,455.20001,2707.3501,87.845001,297.855,42.77718683,288.12423491,582.84998,306.20001,631.83,2271.775,,696.984894,407.20001,298.4125
2017-01-09,43.81564192,294.04999,1187.4,933.25,472.79999,2708.55,90.004999,301.96001,46.32263425,288.52973542,583.40002,315.0,595.95,2279.3551,,689.487358,425.125,308.125
2017-01-16,43.25748088,284.14999,1154.7,967.20001,450.75,2701.05,90.770001,306.4,44.69384964,288.84509967,577.59998,303.70001,589.48,2278.915,,703.545223,419.375,309.0875
2017-01-23,51.68571152,303.95001,1232.55,969.59998,472.85001,2854.1001,99.584998,316.93999,46.69233048,291.72860376,580.15002,317.75,598.91,2348.265,,758.880258,422.100005,322.975
2017-01-30,52.77412834,303.54999,1265.15,985.90002,490.70001,2808.1001,104.735,341.995,46.79839087,318.80641573,607.90002,326.14999,628.91,2338.59,,769.55607,415.375,327.7625
2017-02-06,51.82525178,311.25,1226.0,993.04999,488.89999,2800.8,105.545,363.095,46.78475454,322.18551153,579.95001,324.5,595.21,2401.3051,,823.994653,414.20001,325.9
2017-02-13,52.35550756,297.25,1271.95,960.79999,489.10001,2778.8999,108.95,368.55,46.29384643,332.95357248,593.25,316.25,582.54,2504.0301,,848.03564,419.625,344.2625
2017-02-20,53.91835569,297.25,1323.6,1009.0,528.15002,2814.1001,106.82,384.72,45.61960536,330.02502279,592.40002,327.70001,577.48,2487.7699,,835.240945,421.42499,348.575
2017-02-27,52.85784915,296.35001,1246.4,1013.7,512.90002,2832.8,104.625,376.175,45.29687874,320.92398243,588.59998,321.25,574.22,2308.9301,,832.062645,426.45001,344.25
2017-03-06,52.49504782,298.79999,1205.55,1030.25,515.90002,2864.55,109.45,382.605,47.50445006,328.80853929,589.09998,316.29999,543.17,2335.6551,,814.174512,423.17499,350.025
2017-03-13,57.88130022,325.39999,1216.2,1079.45,517.15002,2912.5,115.93,396.91001,48.96960212,312.54384288,597.29999,289.25,547.25,2469.14,,848.687599,432.875,356.4625
2017-03-20,59.02553036,323.25,1178.5,1064.25,489.35001,2843.0,117.705,412.93501,47.13626942,306.82189832,593.95001,297.85001,525.67,2435.015,,862.460232,436.524995,356.0875
2017-03-27,60.58838128,339.60001,1165.15,1073.5,490.79999,2805.45,117.11,409.83999,47.49990505,315.42731994,592.95001,292.64999,526.47,2558.75,,854.881209,437.375,360.6375
2017-04-03,65.52810651,347.14999,1162.1,1082.95,504.20001,2830.45,120.16,422.62002,50.80292572,310.60649462,590.0,283.89999,532.27,2580.685,,861.482294,424.649995,359.7125
2017-04-10,65.22111794,320.45001,1175.55,1078.3,507.54999,2848.1499,127.39,461.18999,51.49989706,306.59662527,577.25,291.04999,528.19,2608.565,,856.225875,404.54999,360.075
2017-04-17,81.46360431,326.0,1167.55,1065.45,486.25,2824.3,124.695,430.40498,54.69686036,308.8944014,564.45001,277.0,521.93,2561.0551,,920.688319,406.375,374.15
2017-04-24,60.8116457,327.70001,1233.25,1120.45,509.64999,2864.0,127.62,457.56499,55.43928312,320.33828151,557.45001,276.64999,519.83,2606.8,,941.306521,407.04999,386.625
2017-05-01,63.46291065,344.95001,1265.45,1146.8,504.5,2887.6499,127.425,442.83999,54.39383067,310.65154022,549.95001,278.5,520.6,2583.34,,971.500371,414.79999,383.05
2017-05-08,67.84447485,357.95001,1309.2,1132.95,503.0,3004.8,131.475,439.55498,54.36352467,328.98877576,567.95001,276.60001,516.16,2917.835,,936.539071,423.82501,387.9125
2017-05-15,68.03983121,349.45001,1261.0,1123.15,501.70001,2972.6499,128.915,416.98999,52.75747333,335.88212217,564.95001,276.25,531.29,2793.6051,,913.109295,422.350005,390.3125
