,rebalancing_date,week_start,week_end
0,2018-01-01,2018-01-01,2018-01-05
1,2018-01-02,2018-01-01,2018-01-05
2,2018-01-03,2018-01-01,2018-01-05
3,2018-01-04,2018-01-01,2018-01-05
4,2018-01-05,2018-01-01,2018-01-05
5,2018-01-08,2018-01-08,2018-01-12
6,2018-01-09,2018-01-08,2018-01-12
7,2018-01-10,2018-01-08,2018-01-12
8,2018-01-11,2018-01-08,2018-01-12
9,2018-01-12,2018-01-08,2018-01-12
10,2018-01-15,2018-01-15,2018-01-19
11,2018-01-16,2018-01-15,2018-01-19
12,2018-01-17,2018-01-15,2018-01-19
13,2018-01-18,2018-01-15,2018-01-19
14,2018-01-19,2018-01-15,2018-01-19
15,2018-01-22,2018-01-22,2018-01-25
16,2018-01-23,2018-01-22,2018-01-25
17,2018-01-24,2018-01-22,2018-01-25
18,2018-01-25,2018-01-22,2018-01-25
19,2018-01-29,2018-01-29,2018-02-02
20,2018-01-30,2018-01-29,2018-02-02
21,2018-01-31,2018-01-29,2018-02-02
22,2018-02-01,2018-01-29,2018-02-02
23,2018-02-02,2018-01-29,2018-02-02
24,2018-02-05,2018-02-05,2018-02-09
25,2018-02-06,2018-02-05,2018-02-09
26,2018-02-07,2018-02-05,2018-02-09
27,2018-02-08,2018-02-05,2018-02-09
28,2018-02-09,2018-02-05,2018-02-09
29,2018-02-12,2018-02-12,2018-02-16
30,2018-02-14,2018-02-12,2018-02-16
31,2018-02-15,2018-02-12,2018-02-16
32,2018-02-16,2018-02-12,2018-02-16
33,2018-02-19,2018-02-19,2018-02-23
34,2018-02-20,2018-02-19,2018-02-23
35,2018-02-21,2018-02-19,2018-02-23
36,2018-02-22,2018-02-19,2018-02-23
37,2018-02-23,2018-02-19,2018-02-23
38,2018-02-26,2018-02-26,2018-03-01
39,2018-02-27,2018-02-26,2018-03-01
40,2018-02-28,2018-02-26,2018-03-01
41,2018-03-01,2018-02-26,2018-03-01
42,2018-03-05,2018-03-05,2018-03-09
43,2018-03-06,2018-03-05,2018-03-09
44,2018-03-07,2018-03-05,2018-03-09
45,2018-03-08,2018-03-05,2018-03-09
46,2018-03-09,2018-03-05,2018-03-09
47,2018-03-12,2018-03-12,2018-03-16
48,2018-03-13,2018-03-12,2018-03-16
49,2018-03-14,2018-03-12,2018-03-16
50,2018-03-15,2018-03-12,2018-03-16
51,2018-03-16,2018-03-12,2018-03-16
52,2018-03-19,2018-03-19,2018-03-23
53,2018-03-20,2018-03-19,2018-03-23
54,2018-03-21,2018-03-19,2018-03-23
55,2018-03-22,2018-03-19,2018-03-23
56,2018-03-23,2018-03-19,2018-03-23
57,2018-03-26,2018-03-26,2018-03-28
58,2018-03-27,2018-03-26,2018-03-28
59,2018-03-28,2018-03-26,2018-03-28
60,2018-04-02,2018-04-02,2018-04-06
61,2018-04-03,2018-04-02,2018-04-06
62,2018-04-04,2018-04-02,2018-04-06
63,2018-04-05,2018-04-02,2018-04-06
64,2018-04-06,2018-04-02,2018-04-06
65,2018-04-09,2018-04-09,2018-04-13
66,2018-04-10,2018-04-09,2018-04-13
67,2018-04-11,2018-04-09,2018-04-13
68,2018-04-12,2018-04-09,2018-04-13
69,2018-04-13,2018-04-09,2018-04-13
70,2018-04-16,2018-04-16,2018-04-20
71,2018-04-17,2018-04-16,2018-04-20
72,2018-04-18,2018-04-16,2018-04-20
73,2018-04-19,2018-04-16,2018-04-20
74,2018-04-20,2018-04-16,2018-04-20
75,2018-04-23,2018-04-23,2018-04-27
76,2018-04-24,2018-04-23,2018-04-27
77,2018-04-25,2018-04-23,2018-04-27
78,2018-04-26,2018-04-23,2018-04-27
79,2018-04-27,2018-04-23,2018-04-27
80,2018-04-30,2018-04-30,2018-05-04
81,2018-05-02,2018-04-30,2018-05-04
82,2018-05-03,2018-04-30,2018-05-04
83,2018-05-04,2018-04-30,2018-05-04
84,2018-05-07,2018-05-07,2018-05-11
85,2018-05-08,2018-05-07,2018-05-11
86,2018-05-09,2018-05-07,2018-05-11
87,2018-05-10,2018-05-07,2018-05-11
88,2018-05-11,2018-05-07,2018-05-11
89,2018-05-14,2018-05-14,2018-05-18
90,2018-05-15,2018-05-14,2018-05-18
91,2018-05-16,2018-05-14,2018-05-18
